nAdjClose,AdjClose,EMA50,EMA200,EMA13,EMA26,EMA12,EMA9,RSI14,MACD,MACDSignal,orders_executed,signal_outcome
0.05929475958,20.1054039,0.05874119635,0.06104999237,0.05752033344,0.05741421437,0.05759356996,0.05788842562,58.91841333,0.0001793555907,0.05788842562,1,-1
0.05744131985,19.47694778,0.05677778809,0.05952645113,0.05667531579,0.05635108116,0.05674422314,0.05701089113,57.40538756,0.000393141979,0.05701089113,1,-1
0.05732711257,19.43822289,0.0567176466,0.05898639774,0.05713514274,0.05672616219,0.05719098539,0.05739651751,53.99063014,0.0004648232017,0.05739651751,1,1
0.06222935748,21.10045433,0.05941239989,0.05933024281,0.06085047382,0.06019482591,0.06092988821,0.06123606795,63.55096495,0.0007350622937,0.06123606795,1,-1
0.05991576978,20.31597328,0.06008352243,0.0605870756,0.05985143469,0.0596954813,0.05989010232,0.06004292319,51.31464613,0.0001946210265,0.06004292319,1,-1
0.06405450836,21.71931839,0.05988757198,0.05986820903,0.06225567953,0.06093396686,0.0623788989,0.06275088394,68.08284273,0.001444932045,0.06275088394,1,-1
0.06136814804,20.80843925,0.05986053261,0.05993164614,0.0598286752,0.05981908314,0.05987375265,0.06012420523,55.66495537,5.47E-05,0.06012420523,1,1
0.07392714679,25.06688881,0.07179885238,0.06890538869,0.07121410432,0.07119401408,0.07127943667,0.07158934267,61.99909923,8.54E-05,0.07158934267,1,-1
0.0669749084,22.70955467,0.0663136899,0.06866648595,0.06576301233,0.0657124634,0.06578968017,0.06590621459,57.78605047,7.72E-05,0.06590621459,1,1
0.08470356012,28.72090721,0.08112426804,0.07679230805,0.08090914359,0.08078304462,0.08099721014,0.08141186717,61.98863409,0.0002141655267,0.08141186717,1,1
0.1102608082,37.38674545,0.1097884955,0.1112826141,0.108554242,0.1085501973,0.1086121604,0.1088741794,56.41382442,6.20E-05,0.1088741794,1,1
0.1221168103,41.40682602,0.1185966227,0.1154401569,0.1189851877,0.1187549216,0.1190768398,0.1195084485,65.41613129,0.0003219182145,0.1195084485,1,1
0.7835334144,265.6770325,0.7796044874,0.8243713608,0.7674408429,0.7667615536,0.7680871437,0.7708742637,55.13613896,0.001325590082,0.7708742637,1,-1
0.8044932385,272.7839966,0.7769382066,0.8160470926,0.7845207718,0.7750228558,0.7859489367,0.7913078861,58.26877081,0.01092608094,0.7913078861,1,-1
0.7111277845,241.1260529,0.7064277597,0.7687348567,0.6928489889,0.692548043,0.6936006033,0.697065553,54.5438776,0.001052560307,0.697065553,1,-1
0.3395595766,21.59876442,0.3296568082,0.4399526734,0.3148078165,0.3128945907,0.3156687437,0.319200511,59.26768177,0.002774152946,0.319200511,1,-1
0.3282912034,20.88200378,0.3262708774,0.425609214,0.3179245894,0.3175191411,0.3178936867,0.3175067055,53.88597762,0.0003745456657,0.3175067055,1,-1
0.2779417507,17.67936707,0.2682844945,0.3653580621,0.2623801784,0.2585582299,0.263540506,0.2684082587,55.42647149,0.004982276049,0.2684082587,1,-1
0.2708693651,17.22950554,0.2694248807,0.3475162352,0.2673459063,0.2671142627,0.2672477424,0.2668805053,51.86851023,0.0001334796844,0.2668805053,1,-1
0.2856374832,18.16887856,0.2677176367,0.3388259203,0.2671698596,0.2661194161,0.2674111279,0.2686545198,59.84229662,0.001291711817,0.2686545198,1,-1
0.2757309799,17.53874397,0.265298132,0.3269400763,0.2644593699,0.2638966687,0.2646654794,0.2657064829,57.51754611,0.0007688106487,0.2657064829,1,-1
0.2760978874,17.56208229,0.2655943876,0.3228674392,0.2654845298,0.2649021495,0.2655708462,0.2658472921,56.06444144,0.0006686967455,0.2658472921,1,-1
0.2322136507,14.77068615,0.2278448539,0.2812396325,0.2187441775,0.2183825091,0.2193351844,0.2217115953,57.72128658,0.0009526752894,0.2217115953,1,1
0.2776693587,17.66204071,0.2728202136,0.2824884255,0.2699960437,0.2686354337,0.2705133796,0.2727661793,54.64410254,0.001877945917,0.2727661793,1,-1
0.176341334,11.21675014,0.1809551382,0.2346376927,0.1710710024,0.1707479646,0.171415751,0.1728244833,53.31924168,0.0006677863685,0.1728244833,1,-1
0.152767705,9.717274666,0.1460029568,0.2005796814,0.1403783686,0.1396415312,0.1407417517,0.1422668496,57.64668827,0.001100220479,0.1422668496,1,1
0.154418684,9.822290421,0.152819648,0.1769735228,0.1506427051,0.1504278635,0.150848217,0.1517387988,55.63165107,0.0004203534523,0.1517387988,1,-1
0.160141314,10.18629646,0.1526881472,0.1742132966,0.1520113336,0.1516051745,0.1520703644,0.152243028,59.42833733,0.0004651898757,0.152243028,1,-1
0.1676176097,10.66184998,0.1574927992,0.1714003354,0.1592614127,0.1586257497,0.1593002597,0.1595128416,59.24700099,0.0006745099574,0.1595128416,1,1
0.2543246122,16.17712402,0.2540058603,0.2577976826,0.2505438107,0.2502470226,0.2507022342,0.2513181422,54.99139378,0.0004552115933,0.2513181422,1,-1
0.2015850579,12.82245731,0.1988176202,0.2277466727,0.1945394505,0.1941577865,0.1947133159,0.1954140944,59.5825018,0.0005555294434,0.1954140944,1,1
0.2187009824,13.91117001,0.2121664887,0.2232750652,0.2147063209,0.2144281052,0.2146493954,0.2144844765,55.12431808,0.0002212902228,0.2144844765,1,-1
0.2177033664,13.84771347,0.2121334021,0.2201368882,0.2128125952,0.2122756492,0.212968195,0.2136708516,59.58712819,0.000692545765,0.2136708516,1,-1
0.2200391934,13.99629116,0.2174729815,0.2199830918,0.2170695783,0.2169798666,0.2171790638,0.2176813456,55.42094562,0.0001991972652,0.2176813456,1,-1
0.235014589,14.94884872,0.2295580813,0.2328800801,0.2314770357,0.2285221344,0.2319356221,0.2335275681,59.96903039,0.003413487607,0.2335275681,1,-1
0.1916060637,12.18771172,0.1893624098,0.2118439473,0.1857251622,0.1856845086,0.1858237176,0.1862356148,59.38883883,0.0001392090087,0.1862356148,1,-1
0.181030155,11.51499748,0.1769698111,0.199817879,0.175328138,0.174406803,0.1755865804,0.1766258347,59.11714835,0.001179777438,0.1766258347,1,-1
0.176315726,11.21512127,0.1724677137,0.1915327714,0.1722376592,0.1713465835,0.172443848,0.1733054865,57.69751629,0.001097264487,0.1733054865,1,1
0.2123894142,13.50970268,0.1966970919,0.196314921,0.2040413737,0.1987848414,0.2047108185,0.2069884915,74.48319307,0.00592597713,0.2069884915,1,-1
0.2083079877,13.2500906,0.21026918,0.2251118423,0.2056378396,0.2049610941,0.2058888383,0.2068478136,53.150473,0.0009277441414,0.2068478136,1,1
0.2208792335,14.04972458,0.2182116614,0.2226207283,0.2167255656,0.2164166134,0.2169308878,0.2177589769,55.2405164,0.0005142744029,0.2177589769,1,-1
0.1577306121,10.03295612,0.1508033403,0.1889428089,0.1432296797,0.1427664138,0.1436127371,0.1452518205,59.9147937,0.0008463233177,0.1452518205,1,-1
0.1500835317,9.546539307,0.1428435468,0.1747986041,0.1400680403,0.1399206329,0.1402317477,0.1410787395,59.39029005,0.0003111147723,0.1410787395,1,-1
0.1451928307,9.235450745,0.1382241406,0.1660806078,0.1381860559,0.136668955,0.1385510934,0.1401254722,58.45164751,0.001882138375,0.1401254722,1,1
0.2225349352,14.15504074,0.2215716367,0.216172457,0.2185964342,0.2187253802,0.2188073194,0.2198444267,54.2620597,8.19E-05,0.2198444267,1,-1
0.208124459,13.23841667,0.2057975053,0.2123118715,0.2026638764,0.2022709259,0.2029018736,0.2038531047,59.46810488,0.0006309476252,0.2038531047,1,1
0.2378759041,15.13085175,0.2227592481,0.2216297527,0.2224826124,0.2213251314,0.2228451518,0.2244726036,71.28082051,0.001520020371,0.2244726036,1,-1
0.2420845907,15.39855862,0.2311593446,0.2311450115,0.2334293862,0.2301972884,0.2340323691,0.2363169438,63.24526525,0.003835080646,0.2363169438,1,1
0.3099075948,19.71265602,0.3016984695,0.2859186539,0.3000192238,0.2998060642,0.3003163768,0.3017198665,61.18896623,0.0005103126154,0.3017198665,1,-1
0.2422390631,15.40838432,0.2415372826,0.2657175641,0.2370149205,0.23641424,0.2372928294,0.2383993564,59.83614614,0.0008785894287,0.2383993564,1,-1
0.2512459593,15.98129654,0.244914283,0.2573171302,0.2474464588,0.2457835717,0.2477022858,0.2487267328,58.51514727,0.001918714074,0.2487267328,1,-1
0.253225119,16.10718727,0.2472157848,0.2557624529,0.2485225846,0.2482064096,0.2485130735,0.2484552682,57.50326666,0.0003066639005,0.2484552682,1,1
0.404144238,25.70687675,0.4032198479,0.4031236187,0.3966140492,0.3964179044,0.3970149435,0.3987449805,55.52094712,0.0005970391228,0.3987449805,1,-1
0.3699976989,23.53487778,0.3666332832,0.3877656895,0.3618188924,0.3611679215,0.3621898689,0.363815118,55.56236042,0.001021947374,0.363815118,1,-1
0.3924497051,24.96300888,0.3916795874,0.3993399245,0.386705151,0.3854935717,0.3872042831,0.3891298531,55.60354563,0.001710711434,0.3891298531,1,-1
0.4130669338,26.27443314,0.401294031,0.4010677724,0.4067237235,0.4028751446,0.4072482497,0.4090169937,65.0585646,0.004373105159,0.4090169937,1,1
